Cost_per_person,Currency,Price_range,Country_Code
550,PHP,3,162
600,PHP,3,162
2000,PHP,4,162
750,PHP,4,162
750,PHP,4,162
500,PHP,3,162
1000,PHP,4,162
1000,PHP,4,162
3000,PHP,4,162
550,PHP,3,162
400,PHP,3,162
450,PHP,3,162
400,PHP,3,162
500,PHP,3,162
350,PHP,3,162
400,PHP,3,162
425,PHP,3,162
600,PHP,3,162
300,PHP,2,162
750,PHP,4,162
1500,PHP,4,162
900,PHP,4,162
27.5,BRL,2,30
15,BRL,1,30
22.5,BRL,2,30
30,BRL,3,30
25,BRL,2,30
40,BRL,3,30
45,BRL,3,30
100,BRL,4,30
15,BRL,1,30
75,BRL,4,30
50,BRL,4,30
30,BRL,3,30
50,BRL,4,30
115,BRL,4,30
50,BRL,4,30
75,BRL,4,30
120,BRL,4,30
115,BRL,4,30
175,BRL,4,30
25,BRL,2,30
70,BRL,4,30
50,BRL,4,30
30,BRL,3,30
45,BRL,3,30
85,BRL,4,30
30,BRL,3,30
50,BRL,4,30
45,BRL,3,30
60,BRL,4,30
85,BRL,4,30
45,BRL,3,30
75,BRL,4,30
125,BRL,4,30
60,BRL,4,30
20,BRL,2,30
125,BRL,4,30
35,BRL,3,30
150,BRL,4,30
42.5,BRL,3,30
40,BRL,3,30
125,BRL,4,30
125,BRL,4,30
35,BRL,3,30
50,BRL,4,30
150,BRL,4,30
60,BRL,4,30
37.5,BRL,3,30
27.5,BRL,2,30
100,BRL,4,30
60,BRL,4,30
150,BRL,4,30
115,BRL,4,30
60,BRL,4,30
75,BRL,4,30
200,BRL,4,30
32.5,BRL,3,30
25,BRL,2,30
50,BRL,4,30
35,BRL,3,30
60,BRL,4,30
12.5,USD,2,216
5,USD,1,216
0,USD,1,216
0,USD,1,216
5,USD,1,216
0,USD,1,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
35,USD,4,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
10,USD,2,14
20,USD,3,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
17.5,USD,3,216
5,USD,1,216
10,USD,2,14
10,USD,2,14
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
35,USD,4,216
5,USD,1,216
35,USD,4,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
20,USD,3,216
5,USD,1,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,37
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
20,USD,3,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
0,USD,1,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,37
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
35,USD,4,216
12.5,USD,2,216
12.5,USD,2,216
0,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
35,USD,4,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
3.5,USD,1,14
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
0,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
35,USD,4,216
10,USD,2,14
5,USD,1,216
15,USD,3,14
10,USD,2,14
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
10,USD,2,14
3.5,USD,1,14
10,USD,2,14
3.5,USD,1,14
3.5,USD,1,14
5,USD,1,216
12.5,USD,2,216
10,USD,2,14
10,USD,2,14
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
35,USD,4,216
5,USD,1,216
35,USD,4,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
5,USD,1,216
12.5,USD,2,216
12.5,USD,2,216
5,USD,1,216
20,USD,3,216
10,USD,2,14
5,USD,1,216
15,USD,3,14
0,USD,1,216
12.5,USD,2,216
15,USD,3,14
20,USD,3,216
20,USD,3,216
22.5,USD,3,216
17.5,USD,3,216
25,USD,4,216
20,USD,3,216
50,USD,4,216
22.5,USD,3,216
25,USD,4,216
17.5,USD,3,216
5,USD,1,216
30,USD,4,216
20,USD,3,216
12.5,USD,2,216
17.5,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
15,USD,3,14
60,USD,4,14
10,USD,2,14
12.5,USD,2,216
20,USD,3,216
5,USD,1,216
5,USD,1,216
20,USD,3,216
12.5,USD,2,216
12.5,USD,2,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
12.5,USD,2,216
20,USD,3,216
20,USD,3,216
5,USD,1,216
20,USD,3,216
10,USD,2,14
5,USD,1,216
22.5,USD,3,216
5,USD,1,216
0,USD,1,216
20,USD,3,216
15,USD,3,216
5,USD,1,216
5,USD,1,216
