Cost per person,Currency,Price rating,Country Code,Cost_USD
550,PHP,3,162,11.130291
600,PHP,3,162,12.142136
2000,PHP,4,162,40.473785
750,PHP,4,162,15.17767
750,PHP,4,162,15.17767
500,PHP,3,162,10.118446
1000,PHP,4,162,20.236893
1000,PHP,4,162,20.236893
3000,PHP,4,162,60.71068
550,PHP,3,162,11.130291
400,PHP,3,162,8.094757
450,PHP,3,162,9.106602
400,PHP,3,162,8.094757
500,PHP,3,162,10.118446
350,PHP,3,162,7.0829124
400,PHP,3,162,8.094757
425,PHP,3,162,8.600679
600,PHP,3,162,12.142136
300,PHP,2,162,6.071068
750,PHP,4,162,15.17767
1500,PHP,4,162,30.35534
900,PHP,4,162,18.213203
27.5,BRL,2,30,5.471677
15,BRL,1,30,2.984551
22.5,BRL,2,30,4.476826
30,BRL,3,30,5.969102
25,BRL,2,30,4.9742517
40,BRL,3,30,7.958802
45,BRL,3,30,8.953652
100,BRL,4,30,19.897007
15,BRL,1,30,2.984551
75,BRL,4,30,14.922754
50,BRL,4,30,9.9485035
30,BRL,3,30,5.969102
50,BRL,4,30,9.9485035
115,BRL,4,30,22.881557
50,BRL,4,30,9.9485035
75,BRL,4,30,14.922754
120,BRL,4,30,23.876408
115,BRL,4,30,22.881557
175,BRL,4,30,34.81976
25,BRL,2,30,4.9742517
70,BRL,4,30,13.927904
50,BRL,4,30,9.9485035
30,BRL,3,30,5.969102
45,BRL,3,30,8.953652
85,BRL,4,30,16.912455
30,BRL,3,30,5.969102
50,BRL,4,30,9.9485035
45,BRL,3,30,8.953652
60,BRL,4,30,11.938204
85,BRL,4,30,16.912455
45,BRL,3,30,8.953652
75,BRL,4,30,14.922754
125,BRL,4,30,24.871258
60,BRL,4,30,11.938204
20,BRL,2,30,3.979401
125,BRL,4,30,24.871258
35,BRL,3,30,6.963952
150,BRL,4,30,29.845509
42.5,BRL,3,30,8.456227
40,BRL,3,30,7.958802
125,BRL,4,30,24.871258
125,BRL,4,30,24.871258
35,BRL,3,30,6.963952
50,BRL,4,30,9.9485035
150,BRL,4,30,29.845509
60,BRL,4,30,11.938204
37.5,BRL,3,30,7.461377
27.5,BRL,2,30,5.471677
100,BRL,4,30,19.897007
60,BRL,4,30,11.938204
150,BRL,4,30,29.845509
115,BRL,4,30,22.881557
60,BRL,4,30,11.938204
75,BRL,4,30,14.922754
200,BRL,4,30,39.794014
32.5,BRL,3,30,6.466527
25,BRL,2,30,4.9742517
50,BRL,4,30,9.9485035
35,BRL,3,30,6.963952
60,BRL,4,30,11.938204
12.5,USD,2,216,12.5
5,USD,1,216,5.0
0,USD,1,216,0.0
0,USD,1,216,0.0
5,USD,1,216,5.0
0,USD,1,216,0.0
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
35,USD,4,216,35.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
20,USD,3,216,20.0
20,USD,3,216,20.0
20,USD,3,216,20.0
5,USD,1,216,5.0
5,USD,1,216,5.0
10,USD,2,14,10.0
20,USD,3,216,20.0
5,USD,1,216,5.0
5,USD,1,216,5.0
5,USD,1,216,5.0
5,USD,1,216,5.0
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
20,USD,3,216,20.0
5,USD,1,216,5.0
5,USD,1,216,5.0
20,USD,3,216,20.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
20,USD,3,216,20.0
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
20,USD,3,216,20.0
20,USD,3,216,20.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
20,USD,3,216,20.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
17.5,USD,3,216,17.5
5,USD,1,216,5.0
10,USD,2,14,10.0
10,USD,2,14,10.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
35,USD,4,216,35.0
5,USD,1,216,5.0
35,USD,4,216,35.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
20,USD,3,216,20.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
20,USD,3,216,20.0
20,USD,3,216,20.0
5,USD,1,216,5.0
20,USD,3,216,20.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
5,USD,1,216,5.0
5,USD,1,216,5.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
20,USD,3,216,20.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
12.5,USD,2,37,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
5,USD,1,216,5.0
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
12.5,USD,2,216,12.5
20,USD,3,216,20.0
5,USD,1,216,5.0
20,USD,3,216,20.0
