Country_Code,Cuisines,Rating,Rating_text,Votes
162,"French, Japanese, Desserts",4.8,Excellent,314
162,Japanese,4.5,Excellent,591
162,"Seafood, Asian, Filipino, Indian",4.4,Very Good,270
162,"Japanese, Sushi",4.9,Excellent,365
162,"Japanese, Korean",4.8,Excellent,229
162,Chinese,4.4,Very Good,336
162,"Asian, European",4,Very Good,520
162,"Seafood, Filipino, Asian, European",4.2,Very Good,677
162,"European, Asian, Indian",4.9,Excellent,621
162,Filipino,4.8,Excellent,532
162,"Filipino, Mexican",4.9,Excellent,1070
162,"American, Ice Cream, Desserts",4.2,Very Good,488
162,"Filipino, Mexican",4.8,Excellent,294
162,Filipino,4.2,Very Good,458
162,Korean,4.3,Very Good,223
162,"Cafe, American, Italian, Filipino",3.6,Good,29
162,"Italian, Pizza",4,Very Good,72
162,Filipino,4.5,Excellent,211
162,"Cafe, Korean, Desserts",4.5,Excellent,118
162,"Cafe, Bakery, American, Italian",4.4,Very Good,392
162,"Seafood, American, Mediterranean, Japanese",4.7,Excellent,535
162,"American, Asian, Italian, Seafood",4.5,Excellent,618
30,"Fast Food, French",3,Average,6
30,Cafe,3.8,Good,9
30,Bakery,3.7,Good,11
30,Brazilian,3.8,Good,11
30,Pizza,3.2,Average,11
30,Japanese,3.1,Average,10
30,Arabian,3.7,Good,8
30,Japanese,3.7,Good,5
30,"Brazilian, Cafe",0,Not rated,2
30,Italian,4.1,Very Good,12
30,Pizza,3.1,Average,9
30,"Bar Food, Brazilian",3.6,Good,9
30,"Mexican, Grill",4.3,Very Good,29
30,International,4.2,Very Good,17
30,"Peruvian, Latin American",3.6,Good,5
30,"American, Grill",4,Very Good,10
30,Seafood,3.2,Average,6
30,International,4.9,Excellent,30
30,Italian,3.3,Average,8
30,"American, Burger",3.6,Good,9
30,"Seafood, Bar Food, Brazilian",4,Very Good,7
30,"Desserts, Cafe",4.8,Excellent,29
30,"Juices, Healthy Food",4.7,Excellent,24
30,"Beverages, Bar Food, Fast Food",4.5,Excellent,29
30,Lebanese,4.2,Very Good,11
30,Burger,4.8,Excellent,19
30,"Brazilian, Bar Food",4.9,Excellent,40
30,"Brazilian, Healthy Food, Juices, Pizza",4.6,Excellent,21
30,"Brazilian, Bar Food",4.9,Excellent,49
30,Brazilian,4.6,Excellent,21
30,Brazilian,4.3,Very Good,14
30,Italian,4,Very Good,5
30,Japanese,4.6,Excellent,25
30,"Bakery, Sandwich, Brazilian",4.4,Very Good,13
30,Brazilian,4.2,Very Good,7
30,"Brazilian, Seafood",4.2,Very Good,8
30,"Bar Food, Brazilian",0,Not rated,1
30,Brazilian,4.7,Excellent,44
30,"Brazilian, Bar Food",4.6,Excellent,24
30,"Brazilian, Bar Food",4.3,Very Good,10
30,"Italian, Pizza",4.5,Excellent,49
30,"Steak, BBQ",4.4,Very Good,17
30,Indian,3.1,Average,5
30,Brazilian,4.1,Very Good,15
30,"Beverages, International",4.8,Excellent,59
30,"French, Brazilian, Beverages",4.6,Excellent,30
30,"Brazilian, Grill",3.9,Good,5
30,Brazilian,0,Not rated,0
30,French,3.4,Average,73
30,"Sushi, Japanese",3.5,Good,9
30,"BBQ, Grill, Brazilian",4.3,Very Good,39
30,Sushi,3.9,Good,12
30,"Gourmet Fast Food, Burger",4.3,Very Good,68
30,"Brazilian, Italian",4.3,Very Good,46
30,Italian,4.4,Very Good,37
30,"Brazilian, Mineira",0,Not rated,2
30,Brazilian,0,Not rated,2
30,"Brazilian, North Eastern",4.4,Very Good,22
30,"Brazilian, Bar Food, Beverages",4.6,Excellent,58
30,"Lebanese, Arabian",4.1,Very Good,11
216,"BBQ, Burger, Seafood",3.3,Average,35
216,"American, BBQ",3.3,Average,25
216,,3.4,Average,34
216,Mexican,3.4,Average,45
216,"Coffee and Tea, Sandwich",3.4,Average,26
216,,3.4,Average,36
216,Fast Food,3.5,Good,67
216,"Asian, Chinese, Vegetarian",3.9,Good,141
216,"Pizza, Bar Food, Sandwich",3.7,Good,147
216,"Steak, Tapas, Bar Food",3.5,Good,51
216,"Chinese, Seafood, Vegetarian",3.6,Good,88
216,Chinese,3.8,Good,153
216,,3.9,Good,160
216,"American, Burger, Sandwich",3.5,Good,57
216,"American, Steak",3.5,Good,58
216,"Japanese, Steak, Sushi",3.6,Good,115
216,"Japanese, Steak, Sushi",3.5,Good,51
216,"Seafood, Tapas, Bar Food",3.8,Good,250
216,"Italian, Pizza",3.7,Good,117
216,"American, Breakfast, Diner",3.4,Average,20
14,"Bar Food, Steak",3.5,Good,25
216,"American, Southern, Southwestern",4.5,Excellent,1821
216,Southern,4.5,Excellent,849
216,Mexican,4.6,Excellent,917
216,"Japanese, Korean",3.9,Good,439
216,"Breakfast, Burger, Sandwich",3.7,Good,289
216,"Breakfast, Sandwich",4.3,Very Good,558
216,"American, Burger, Sandwich",4.2,Very Good,613
216,"American, Italian, Pizza",4,Very Good,353
216,"American, Italian, Pizza",4.1,Very Good,387
216,American,4.3,Very Good,755
216,"International, Southern, Vegetarian",4.2,Very Good,800
216,Sandwich,4.1,Very Good,350
216,Italian,4.1,Very Good,464
216,"Asian, Japanese, Sushi",4.2,Very Good,550
216,"Mexican, Spanish",4.1,Very Good,543
216,"International, Southern",4.1,Very Good,465
216,Bar Food,4.4,Very Good,546
