Restaurant_Name,City,Restaurant_ID,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Country_Code
Le Petit Souffle,Makati City,6317637,Yes,No,No,162
Izakaya Kikufuji,Makati City,6304287,Yes,No,No,162
Heat - Edsa Shangri-La,Mandaluyong City,6300002,Yes,No,No,162
Ooma,Mandaluyong City,6318506,No,No,No,162
Sambo Kojin,Mandaluyong City,6314302,Yes,No,No,162
Din Tai Fung,Mandaluyong City,18189371,No,No,No,162
Buffet 101,Pasay City,6300781,Yes,No,No,162
Vikings,Pasay City,6301290,Yes,No,No,162
Spiral - Sofitel Philippine Plaza Manila,Pasay City,6300010,Yes,No,No,162
Locavore,Pasig City,6314987,Yes,No,No,162
Silantro Fil-Mex,Pasig City,6309903,No,No,No,162
Mad Mark's Creamery & Good Eats,Pasig City,6309455,Yes,No,No,162
Silantro Fil-Mex,Quezon City,6318433,No,No,No,162
Guevarra's,San Juan City,6310470,Yes,No,No,162
Sodam Korean Restaurant,San Juan City,6314605,No,No,No,162
Cafe Arabelle,Santa Rosa,18185059,No,No,No,162
Nonna's Pasta & Pizzeria,Santa Rosa,18182702,No,No,No,162
Balay Dako,Tagaytay City,6318213,Yes,No,No,162
Hobing Korean Dessert Cafe,Taguig City,18255654,No,No,No,162
Wildflour Cafe + Bakery,Taguig City,6308205,Yes,No,No,162
NIU by Vikings,Taguig City,6315438,Yes,No,No,162
The Food Hall by Todd English,Taguig City,6310406,Yes,No,No,162
Chez Michou,Brasí_lia,6600681,No,No,No,30
Cafí© Daniel Briand,Brasí_lia,6601005,No,No,No,30
Casa do Biscoito Mineiro,Brasí_lia,6600292,No,No,No,30
Maori,Brasí_lia,6600441,No,No,No,30
Pizza íæ Bessa,Brasí_lia,6600970,No,No,No,30
Sushi Loko,Brasí_lia,6600379,No,No,No,30
Beirute,Brasí_lia,6600214,No,No,No,30
New Koto,Brasí_lia,6601218,No,No,No,30
Sandubas Cafí©,Brasí_lia,6600060,No,No,No,30
Villa Tevere,Brasí_lia,6600083,No,No,No,30
Rovereto,Brasí_lia,6601515,No,No,No,30
Buena Carne,Brasí_lia,6601361,No,No,No,30
Taco Pep,Brasí_lia,6601602,No,No,No,30
Coco Bambu,Brasí_lia,6601589,No,No,No,30
Taypíç,Brasí_lia,6601862,No,No,No,30
Outback Steakhouse,Brasí_lia,6601595,No,No,No,30
Manzuíç,Brasí_lia,6601158,No,No,No,30
Coco Bambu,Brasí_lia,6600427,No,No,No,30
Gero,Brasí_lia,6600116,No,No,No,30
Brazilian American Burgers,Brasí_lia,6601457,No,No,No,30
Pesqueiro Eco Gourmet,Rio de Janeiro,7303219,No,No,No,30
Confeitaria Colombo,Rio de Janeiro,7304307,No,No,No,30
Bibi,Rio de Janeiro,7301215,No,No,No,30
Cervantes,Rio de Janeiro,7300596,No,No,No,30
Amir,Rio de Janeiro,7300612,No,No,No,30
TT Burger,Rio de Janeiro,7300704,No,No,No,30
Braseiro da Gíçvea,Rio de Janeiro,7300955,No,No,No,30
Balada Mix,Rio de Janeiro,7300521,No,No,No,30
Garota de Ipanema,Rio de Janeiro,7300515,No,No,No,30
Zazíç BistríÇ Tropical,Rio de Janeiro,7300483,No,No,No,30
Filí© de Ouro,Rio de Janeiro,7301064,No,No,No,30
D.O.C Ristorante,Rio de Janeiro,7304312,No,No,No,30
Sushi Leblon,Rio de Janeiro,7300004,No,No,No,30
Talho Capixaba,Rio de Janeiro,7300868,No,No,No,30
Leme Light,Rio de Janeiro,7302637,No,No,No,30
Shirley,Rio de Janeiro,7302140,No,No,No,30
Quiosque Chopp Brahma,Rio de Janeiro,7305048,No,No,No,30
Aprazí_vel,Rio de Janeiro,7302898,No,No,No,30
Aconchego Carioca,Rio de Janeiro,7302859,No,No,No,30
Garota de Ipanema,Rio de Janeiro,7301700,No,No,No,30
Cantina Famiglia Mancini,Sí£o Paulo,6706313,No,No,No,30
Templo da Carne - Marcos Bassi,Sí£o Paulo,6704326,No,No,No,30
Gopala Hari,Sí£o Paulo,6711179,No,No,No,30
Jiquitaia,Sí£o Paulo,6702797,No,No,No,30
Skye - Hotel Unique,Sí£o Paulo,6700475,No,No,No,30
Les 3 Brasseurs,Sí£o Paulo,6713413,No,No,No,30
Red Steak & Burger,Sí£o Paulo,6714340,No,No,No,30
Cantinho da Gula,Sí£o Paulo,6710645,No,No,No,30
Paris 6 Classique,Sí£o Paulo,6700402,No,No,No,30
Kawa Sushi,Sí£o Paulo,6700846,No,No,No,30
A Figueira Rubaiyat,Sí£o Paulo,6702159,No,No,No,30
Kinoshita,Sí£o Paulo,6711666,No,No,No,30
Meats,Sí£o Paulo,6701257,No,No,No,30
Paribar,Sí£o Paulo,6706211,No,No,No,30
Terraí_o Itíçlia,Sí£o Paulo,6705858,No,No,No,30
Divino Fogí£o,Sí£o Paulo,6701419,No,No,No,30
Super Grill,Sí£o Paulo,6703956,No,No,No,30
Esquina Mocotí_,Sí£o Paulo,6709580,No,No,No,30
Veloso,Sí£o Paulo,6703176,No,No,No,30
Sainte Marie Gastronomia,Sí£o Paulo,6713772,No,No,No,30
Austin's BBQ and Oyster Bar,Albany,17284404,No,No,No,216
BJ's Country Buffet,Albany,17284203,No,No,No,216
Cookie Shoppe,Albany,17284105,No,No,No,216
El Vaquero Mexican Restaurant,Albany,17284302,No,No,No,216
Elements Coffee Co - Northwest,Albany,17284397,No,No,No,216
Pearly's Famous Country Cookng,Albany,17284211,No,No,No,216
Chick-fil-A,Albany,17284094,No,No,No,216
Guang Zhou Chinese Restaurant,Albany,17284409,No,No,No,216
Harvest Moon,Albany,17284139,No,No,No,216
Henry Campbell's Steakhouse,Albany,17284403,No,No,No,216
Hong Kong Cafe,Albany,17284145,No,No,No,216
House of China Restaurant II,Albany,17284150,No,No,No,216
Jimmie's Hot Dogs,Albany,17284158,No,No,No,216
Locos Grill & Pub,Albany,17284175,No,No,No,216
Longhorn Steakhouse,Albany,17284179,No,No,No,216
Mikata Japanese Steakhouse,Albany,17284197,No,No,No,216
Shogun Japanese Steak House,Albany,17284241,No,No,No,216
The Catch Seafood Room & Oyster Bar,Albany,17284390,No,No,No,216
Villa Gargano,Albany,17284279,No,No,No,216
3 Squares Diner,Albany,17284364,No,No,No,216
Whitebull Hotel,Armidale,16611114,No,No,No,14
Last Resort Grill,Athens,17293281,No,No,No,216
Mama's Boy Restaurant,Athens,17293301,No,No,No,216
Sr. Sol 1,Athens,17293409,No,No,No,216
Choo Choo Eastside,Athens,17293163,No,No,No,216
The Grill,Athens,17293228,No,No,No,216
Big City Bread Cafe,Athens,17293880,No,No,No,216
Clocked,Athens,17293169,No,No,No,216
DePalma's Italian Cafe - Downtown,Athens,17293186,No,No,No,216
DePalma's Italian Cafe - East Side,Athens,17293180,No,No,No,216
Five & Ten,Athens,17293205,No,No,No,216
Grit,Athens,17293229,No,No,No,216
Ike & Jane,Athens,17293897,No,No,No,216
La Dolce Vita Ristorante,Athens,17293273,No,No,No,216
Shokitini,Athens,17293870,No,No,No,216
Taqueria Del Sol,Athens,17293877,No,No,No,216
The National,Athens,17293890,No,No,No,216
The Royal Peasant,Athens,17293915,No,No,No,216
Transmetropolitan,Athens,17293422,No,No,No,216
Trappeze Pub,Athens,17293873,No,No,No,216
Viva! Argentine Cuisine,Athens,17294014,No,No,No,216
Miyabi Kyoto Japanese Steak House,Augusta,17294556,No,No,No,216
Rae's Coastal Cafe,Augusta,17294607,No,No,No,216
The Bee's Knees,Augusta,17294279,No,No,No,216
Boll Weevil Cafe,Augusta,17294300,No,No,No,216
Farmhaus Burger,Augusta,17295215,No,No,No,216
Manuel's Bread Cafe,Augusta,17295028,No,No,No,216
Sconyers Bar B Que,Augusta,17294642,No,No,No,216
Frog Hollow Tavern,Augusta,17295109,No,No,No,216
Giuseppe's Pizza & Italian Specialities,Augusta,17294441,No,No,No,216
Mellow Mushroom,Augusta,17294552,No,No,No,216
Nacho Mamas Burritos,Augusta,17294565,No,No,No,216
Rhinehart's Oyster Bar,Augusta,17294623,No,No,No,216
Takosushi,Augusta,17294712,No,No,No,216
The Chop House,Augusta,17295033,No,No,No,216
The Taj of India,Augusta,17295069,No,No,No,216
Augsburg Haus,Augusta,17294261,No,No,No,216
Pho Bac,Augusta,17295115,No,No,No,216
Rhinehart's Oyster Bar,Augusta,17294836,No,No,No,216
Thai Kitchen,Augusta,17294850,No,No,No,216
El Kiosco Mexican Restaurant,Augusta,17294883,No,No,No,216
Taste of Balingup,Balingup,16608864,No,No,No,14
Bridge Road Brewers,Beechworth,16604911,No,No,No,14
Bardenay,Boise,17303465,No,No,No,216
Flatbread Neapolitan Pizzeria,Boise,17303642,No,No,No,216
Goldy's Breakfast Bistro,Boise,17303670,No,No,No,216
Chandlers Steakhouse,Boise,17303545,No,No,No,216
Bar Gernika Basque Pub & Eatery,Boise,17303655,No,No,No,216
Barbacoa Restaurant,Boise,17304691,No,No,No,216
Big Jud's,Boise,17303478,No,No,No,216
Bittercreek Ale House,Boise,17303480,No,No,No,216
Boise Fry Company,Boise,17304733,No,No,No,216
Flying Pie Pizzaria,Boise,17303646,No,No,No,216
Fork,Boise,17304929,No,No,No,216
Guido's Original New York Style Pizza,Boise,17303684,No,No,No,216
Los Beto's,Boise,17303772,No,No,No,216
Lucianos Italian Restaurant,Boise,17305123,No,No,No,216
Mai Thai Restaurant,Boise,17303787,No,No,No,216
Shige Japanese Cuisine,Boise,17303990,No,No,No,216
The Egg Factory,Boise,17304741,No,No,No,216
Tucanos,Boise,17304726,No,No,No,216
Texas Roadhouse,Boise,17304486,No,No,No,216
Brick 29,Boise,17304533,No,No,No,216
Winifreds,Cedar Rapids/Iowa City,17316233,No,No,No,216
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,17315883,No,No,No,216
El Super Burrito,Cedar Rapids/Iowa City,17315995,No,No,No,216
Granite City Food & Brewery,Cedar Rapids/Iowa City,17316018,No,No,No,216
Irish Democrat,Cedar Rapids/Iowa City,17316038,No,No,No,216
Taste of India,Cedar Rapids/Iowa City,17316771,No,No,No,216
Thai Moon Restaurant,Cedar Rapids/Iowa City,17316201,No,No,No,216
Ting's Red Lantern,Cedar Rapids/Iowa City,17316208,No,No,No,216
Monica's,Cedar Rapids/Iowa City,17316389,No,No,No,216
Exotic India,Cedar Rapids/Iowa City,17316278,No,No,No,216
Shorts Burger and Shine,Cedar Rapids/Iowa City,17316744,No,No,No,216
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,17316751,No,No,No,216
Bluebird Diner,Cedar Rapids/Iowa City,17316766,No,No,No,216
Graze,Cedar Rapids/Iowa City,17316743,No,No,No,216
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,17316374,No,No,No,216
Atlas World Grill,Cedar Rapids/Iowa City,17316381,No,No,No,216
BlackStone,Cedar Rapids/Iowa City,17316802,No,No,No,216
Devotay,Cedar Rapids/Iowa City,17316416,No,No,No,216
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,17316449,No,No,No,216
Zoeys Pizzeria,Cedar Rapids/Iowa City,17316603,No,No,No,216
Tokyo Sushi,Chatham-Kent,16659169,No,No,No,37
Berry Patch Restaurant,Clatskanie,17558684,No,No,No,216
Sakura Sushi & Grill,Cochrane,18366580,No,No,No,216
Uptown Vietnam cuisine,Columbus,17330755,No,No,No,216
Cafe Le Rue @ The Landings,Columbus,17330611,No,No,No,216
Mark's City Grille,Columbus,17330609,No,No,No,216
B Merrell's,Columbus,17330024,No,No,No,216
Cannon Brewpub,Columbus,17330074,No,No,No,216
Fuji Japanese Steak House,Columbus,17330185,No,No,No,216
Ruth Ann's Family Restaurant,Columbus,17330397,No,No,No,216
Samurai Japanese Cuisine & Sushi Bar,Columbus,17330735,No,No,No,216
Wasabi Sushi and Thai,Columbus,17330676,No,No,No,216
Buckhead Bar and Grill,Columbus,17330048,No,No,No,216
Burt's Butcher Shoppe and Eatery,Columbus,17330604,No,No,No,216
Chef Lee's Peking Restaurant,Columbus,17330087,No,No,No,216
Country's Barbecue,Columbus,17330137,No,No,No,216
Deorio's,Columbus,17330155,No,No,No,216
Mellow Mushroom,Columbus,17330309,No,No,No,216
Meritage,Columbus,17330311,No,No,No,216
Mongo The Mongolian Fire Pit,Columbus,17330615,No,No,No,216
The Black Cow,Columbus,17330638,No,No,No,216
Wood Stone,Columbus,17330628,No,No,No,216
Hunter's Pub,Columbus,17330546,No,No,No,216
